iter	Passed	Remaining
0	144	187430
1	149	97148
2	157	67906
3	163	53036
4	171	44419
5	179	38802
6	188	34888
7	198	32030
8	206	29648
9	219	28377
10	233	27367
11	239	25688
12	252	25034
13	256	23568
14	270	23136
15	272	21892
16	283	21360
17	292	20804
18	299	20208
19	306	19645
20	315	19240
21	318	18522
22	331	18427
23	341	18147
24	343	17495
25	352	17273
26	361	17061
27	371	16862
28	380	16659
29	390	16527
30	399	16361
31	408	16198
32	416	15997
33	423	15781
34	424	15359
35	432	15198
36	441	15066
37	449	14940
38	459	14841
39	467	14721
40	476	14633
41	485	14530
42	493	14431
43	500	14285
44	508	14173
45	517	14106
46	526	14026
47	529	13801
48	530	13542
49	538	13466
50	547	13415
51	556	13352
52	564	13273
53	576	13305
54	587	13294
55	599	13306
56	607	13252
57	619	13265
58	629	13245
59	637	13174
60	644	13091
61	652	13030
62	662	13017
63	665	12857
64	667	12681
65	676	12654
66	685	12623
67	694	12591
68	702	12541
69	711	12508
70	721	12480
71	727	12405
72	735	12361
73	743	12319
74	751	12280
75	759	12238
76	767	12188
77	775	12152
78	782	12094
79	791	12067
80	794	11962
81	805	11960
82	813	11925
83	820	11884
84	829	11857
85	837	11822
86	845	11786
87	853	11761
88	861	11727
89	868	11681
90	878	11671
91	889	11677
92	893	11590
93	905	11620
94	917	11635
95	928	11644
96	937	11622
97	945	11602
98	953	11570
99	960	11530
100	971	11533
101	982	11533
102	992	11539
103	1002	11529
104	1004	11435
105	1013	11416
106	1021	11390
107	1029	11362
108	1031	11269
109	1038	11234
110	1046	11208
111	1054	11188
112	1063	11167
113	1071	11143
114	1079	11120
115	1087	11099
116	1094	11069
117	1102	11043
118	1110	11018
119	1118	10994
120	1125	10964
121	1132	10933
122	1139	10904
123	1147	10887
124	1155	10860
125	1157	10783
126	1164	10754
127	1172	10736
128	1181	10724
129	1188	10697
130	1197	10690
131	1207	10685
132	1216	10678
133	1226	10675
134	1237	10679
135	1249	10696
136	1253	10639
137	1266	10660
138	1278	10677
139	1289	10683
140	1299	10679
141	1310	10687
142	1322	10703
143	1333	10701
144	1342	10697
145	1355	10714
146	1366	10720
147	1379	10736
148	1390	10743
149	1403	10763
150	1416	10775
151	1428	10791
152	1438	10782
153	1449	10787
154	1459	10782
155	1469	10777
156	1478	10762
157	1489	10766
158	1498	10755
159	1508	10749
160	1516	10729
161	1525	10716
162	1536	10717
163	1545	10703
164	1554	10694
165	1564	10685
166	1574	10683
167	1581	10655
168	1590	10640
169	1598	10622
170	1606	10607
171	1616	10599
172	1626	10593
173	1635	10586
174	1646	10582
175	1655	10573
176	1666	10572
177	1676	10565
178	1690	10584
179	1701	10588
180	1713	10595
181	1723	10585
182	1734	10585
183	1744	10579
184	1755	10577
185	1765	10575
186	1774	10561
187	1785	10558
188	1795	10551
189	1803	10534
190	1812	10523
191	1822	10515
192	1832	10510
193	1843	10508
194	1853	10501
195	1864	10502
196	1874	10497
197	1885	10496
198	1895	10488
199	1905	10481
200	1915	10471
201	1927	10475
202	1939	10480
203	1950	10479
204	1962	10480
205	1971	10469
206	1980	10459
207	1990	10450
208	2000	10440
209	2009	10428
210	2018	10416
211	2026	10400
212	2034	10384
213	2043	10368
214	2052	10359
215	2060	10341
216	2069	10329
217	2077	10313
218	2087	10301
219	2095	10287
220	2105	10279
221	2114	10268
222	2123	10256
223	2133	10248
224	2142	10237
225	2153	10232
226	2162	10224
227	2172	10213
228	2180	10198
229	2190	10188
230	2199	10176
231	2206	10159
232	2214	10140
233	2224	10133
234	2232	10119
235	2242	10109
236	2250	10094
237	2259	10081
238	2268	10068
239	2277	10058
240	2287	10050
241	2296	10038
242	2304	10024
243	2314	10015
244	2325	10013
245	2334	10002
246	2344	9995
247	2355	9993
248	2366	9987
249	2375	9977
250	2385	9969
251	2395	9963
252	2405	9952
253	2415	9947
254	2426	9943
255	2437	9938
256	2445	9923
257	2455	9917
258	2463	9902
259	2472	9888
260	2481	9876
261	2489	9861
262	2498	9849
263	2506	9836
264	2515	9826
265	2525	9815
266	2534	9805
267	2543	9793
268	2553	9787
269	2563	9780
270	2573	9771
271	2582	9760
272	2591	9749
273	2601	9742
274	2609	9727
275	2618	9716
276	2627	9704
277	2637	9697
278	2647	9688
279	2657	9679
280	2667	9674
281	2676	9660
282	2686	9654
283	2695	9642
284	2705	9633
285	2716	9630
286	2726	9623
287	2735	9613
288	2746	9607
289	2757	9602
290	2767	9596
291	2777	9588
292	2789	9586
293	2801	9585
294	2812	9581
295	2823	9575
296	2836	9579
297	2846	9571
298	2856	9561
299	2866	9554
300	2875	9543
301	2885	9535
302	2893	9522
303	2903	9512
304	2914	9508
305	2927	9510
306	2938	9503
307	2948	9497
308	2960	9493
309	2970	9486
310	2979	9475
311	2991	9474
312	3002	9469
313	3012	9460
314	3024	9459
315	3035	9451
316	3044	9442
317	3055	9435
318	3066	9430
319	3077	9423
320	3087	9416
321	3098	9411
322	3109	9406
323	3120	9400
324	3133	9399
325	3141	9387
326	3152	9380
327	3163	9375
328	3175	9370
329	3187	9369
330	3198	9363
331	3209	9357
332	3220	9352
333	3236	9359
334	3249	9360
335	3261	9356
336	3274	9357
337	3288	9360
338	3301	9358
339	3310	9347
340	3319	9336
341	3332	9336
342	3344	9331
343	3357	9330
344	3367	9322
345	3376	9308
346	3385	9298
347	3396	9291
348	3409	9290
349	3418	9279
350	3428	9268
351	3437	9258
352	3446	9247
353	3456	9236
354	3465	9225
355	3475	9216
356	3488	9213
357	3500	9212
358	3516	9216
359	3531	9221
360	3545	9222
361	3561	9228
362	3574	9225
363	3584	9216
364	3594	9208
365	3606	9203
366	3618	9198
367	3629	9192
368	3639	9181
369	3648	9171
370	3658	9160
371	3667	9148
372	3678	9141
373	3687	9131
374	3695	9115
375	3704	9103
376	3715	9095
377	3726	9089
378	3737	9082
379	3747	9072
380	3758	9065
381	3767	9053
382	3776	9041
383	3786	9031
384	3794	9018
385	3802	9004
386	3813	8997
387	3823	8987
388	3831	8973
389	3840	8960
390	3850	8952
391	3860	8942
392	3870	8931
393	3880	8922
394	3891	8915
395	3900	8903
396	3910	8894
397	3919	8883
398	3928	8870
399	3937	8859
400	3945	8846
401	3954	8833
402	3964	8823
403	3973	8812
404	3981	8799
405	3992	8791
406	4001	8779
407	4012	8773
408	4027	8774
409	4039	8768
410	4050	8760
411	4060	8752
412	4070	8742
413	4080	8733
414	4093	8729
415	4105	8723
416	4116	8716
417	4127	8710
418	4138	8700
419	4149	8693
420	4159	8684
421	4170	8676
422	4182	8671
423	4194	8665
424	4206	8660
425	4216	8650
426	4227	8642
427	4237	8634
428	4248	8626
429	4259	8617
430	4272	8614
431	4285	8610
432	4295	8601
433	4309	8598
434	4323	8597
435	4335	8591
436	4347	8584
437	4359	8578
438	4373	8578
439	4387	8576
440	4400	8572
441	4415	8572
442	4428	8566
443	4440	8560
444	4452	8555
445	4464	8548
446	4476	8541
447	4488	8536
448	4502	8533
449	4514	8527
450	4527	8523
451	4540	8517
452	4552	8511
453	4566	8508
454	4580	8505
455	4594	8504
456	4609	8502
457	4619	8492
458	4631	8485
459	4640	8473
460	4651	8466
461	4662	8457
462	4672	8446
463	4682	8436
464	4691	8425
465	4701	8414
466	4711	8404
467	4722	8395
468	4734	8388
469	4745	8380
470	4757	8374
471	4772	8372
472	4784	8366
473	4798	8362
474	4808	8350
475	4817	8339
476	4827	8329
477	4838	8320
478	4847	8308
479	4857	8297
480	4866	8286
481	4875	8274
482	4882	8259
483	4893	8249
484	4902	8237
485	4910	8225
486	4919	8212
487	4929	8201
488	4938	8190
489	4946	8176
490	4954	8163
491	4962	8150
492	4971	8137
493	4980	8126
494	4989	8114
495	4998	8101
496	5008	8091
497	5015	8077
498	5023	8063
499	5030	8049
500	5038	8036
501	5046	8022
502	5054	8009
503	5062	7996
504	5070	7982
505	5078	7968
506	5086	7955
507	5095	7943
508	5101	7928
509	5108	7913
510	5116	7900
511	5125	7888
512	5133	7875
513	5142	7863
514	5150	7851
515	5158	7837
516	5166	7824
517	5172	7808
518	5180	7795
519	5188	7782
520	5196	7769
521	5204	7757
522	5211	7742
523	5218	7727
524	5224	7712
525	5231	7697
526	5238	7683
527	5245	7669
528	5252	7655
529	5259	7641
530	5267	7627
531	5274	7614
532	5284	7604
533	5294	7595
534	5305	7586
535	5316	7578
536	5327	7569
537	5338	7561
538	5351	7554
539	5362	7546
540	5372	7536
541	5381	7526
542	5392	7517
543	5404	7510
544	5414	7500
545	5426	7493
546	5437	7485
547	5448	7477
548	5460	7469
549	5471	7460
550	5481	7450
551	5490	7440
552	5500	7429
553	5509	7418
554	5519	7408
555	5528	7398
556	5539	7389
557	5548	7377
558	5557	7367
559	5568	7357
560	5577	7347
561	5586	7336
562	5597	7327
563	5607	7317
564	5618	7309
565	5628	7299
566	5637	7287
567	5645	7276
568	5655	7265
569	5664	7254
570	5674	7244
571	5685	7235
572	5696	7227
573	5708	7219
574	5718	7210
575	5728	7200
576	5736	7188
577	5744	7176
578	5753	7164
579	5762	7153
580	5773	7145
581	5785	7137
582	5793	7125
583	5801	7113
584	5810	7101
585	5819	7090
586	5828	7079
587	5837	7068
588	5846	7057
589	5854	7044
590	5862	7033
591	5870	7020
592	5878	7008
593	5886	6996
594	5893	6983
595	5901	6970
596	5908	6957
597	5916	6945
598	5925	6933
599	5932	6920
600	5940	6908
601	5949	6897
602	5958	6886
603	5968	6877
604	5976	6865
605	5984	6854
606	5993	6842
607	6001	6830
608	6010	6819
609	6018	6807
610	6025	6794
611	6032	6781
612	6038	6767
613	6045	6754
614	6053	6742
615	6060	6728
616	6067	6716
617	6074	6703
618	6081	6690
619	6087	6676
620	6093	6662
621	6102	6651
622	6110	6639
623	6116	6626
624	6123	6613
625	6130	6600
626	6138	6589
627	6146	6577
628	6153	6564
629	6160	6551
630	6167	6538
631	6174	6526
632	6183	6515
633	6191	6504
634	6199	6492
635	6206	6479
